asIs,linear,rf,svr,ann,lgbm,ezr,data,x*,x,y,budget,rows
 41.00, 93.00, 97.00, 97.00, 92.00, 93.00, 93.00,SS-A,3,3,2,60,1344
 22.00, 84.00, 74.00, 77.00, 84.00, 84.00, 77.00,SS-B,2,3,2,60,207
 13.00, 80.00, 87.00, 84.00, 82.00, 84.00, 78.00,SS-C,2,3,2,60,1513
 35.00, 73.00, 75.00, 75.00, 71.00, 77.00, 72.00,SS-D,3,3,2,60,197
 21.00, 82.00, 96.00, 97.00, 91.00, 97.00, 91.00,SS-E,3,3,2,60,757
 17.00, 76.00, 83.00, 83.00, 80.00, 98.00, 77.00,SS-F,3,3,2,60,197
 18.00, 76.00, 76.00, 82.00, 68.00, 93.00, 69.00,SS-G,3,3,2,60,197
  6.00, 95.00, 99.00, 99.00, 97.00, 99.00, 99.00,wc+rs-3d-c4-obj1,2,3,1,60,197
  3.00, 95.00, 100.00, 99.00, 95.00, 99.00, 100.00,wc+sol-3d-c4-obj1,2,3,1,60,197
 -12.00, 95.00, 99.00, 99.00, 98.00, 99.00, 99.00,wc+wc-3d-c4-obj1,2,3,1,60,197
  8.00, 100.00, 100.00, 100.00, 68.00, 100.00, 100.00,SS-H,3,4,2,60,260
 -16.00, 98.00, 99.00, 40.00, 98.00, 99.00, 98.00,SS-I,4,5,2,60,1081
 -3.00, 94.00, 81.00, 81.00, 77.00, 79.00, 79.00,auto93,2,5,3,60,399
 31.00, 36.00, 57.00, 49.00, 38.00, 66.00, 46.00,healthCloseIsses12mths0001-hard,4,5,3,60,10001
 -29.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,healthCloseIsses12mths0011-easy,3,5,3,60,10001
 -14.00, 97.00, 96.00, 94.00, 96.00, 96.00, 96.00,SS-J,5,6,2,60,3841
 -16.00, 61.00, 98.00, 94.00, 90.00, 96.00, 82.00,SS-K,4,6,2,60,2881
 53.00, 99.00, 100.00, 100.00, 93.00, 100.00, 92.00,SS-S,3,6,2,60,3841
 44.00, 100.00, 100.00, 99.00, 100.00, 100.00, 100.00,rs-6d-c3_obj1,5,6,1,60,3841
 98.00, 99.00, 100.00, 99.00, 100.00, 100.00, 100.00,rs-6d-c3_obj2,3,6,1,60,3841
  1.00, 93.00, 94.00, 94.00, 94.00, 94.00, 94.00,sol-6d-c2-obj1,4,6,1,60,2867
 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,wc-6d-c1-obj1,3,6,1,60,2881
 40.00, 95.00, 95.00, 95.00, 100.00, 95.00, 95.00,Apache_AllMeasurements,6,9,1,60,193
  4.00, 93.00, 87.00, 87.00, 80.00, 88.00, 76.00,pom3a,4,9,3,60,20001
 -7.00, 88.00, 84.00, 90.00, 77.00, 87.00, 73.00,pom3b,4,9,3,60,20001
 -6.00, 79.00, 73.00, 78.00, 53.00, 73.00, 61.00,pom3c,5,9,3,60,20001
 -36.00, 89.00, 85.00, 82.00, 88.00, 82.00, 83.00,pom3d,5,9,3,60,501
 -9.00, 55.00, 95.00, 95.00, 73.00, 77.00, 51.00,Wine_quality,4,10,2,60,1600
 -7.00, 100.00, 100.00, 99.00, 98.00, 99.00, 99.00,SS-L,5,11,2,60,1024
 23.00, 66.00, 92.00, 79.00, 88.00, 96.00, 88.00,SS-O,6,11,2,60,973
 -7.00, 100.00, 100.00, 99.00, 98.00, 99.00, 99.00,SS-P,7,11,2,60,1024
 20.00, 98.00, 95.00, 98.00, 98.00, 97.00, 65.00,SS-X,4,11,2,60,86059
 31.00, 87.00, 100.00, 96.00, 94.00, 100.00, 99.00,SS-T,5,12,2,60,5185
 -2.00, 63.00, 97.00, 81.00, 97.00, 98.00, 98.00,SS-Q,5,13,3,60,2737
 50.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00,HSMGP_num,6,14,1,60,3457
 -26.00, 81.00, 85.00, 83.00, 80.00, 85.00, 82.00,SS-R,7,14,2,60,3009
 25.00, 97.00, 99.00, 97.00, 96.00, 96.00, 98.00,SS-V,6,16,2,60,6841
  3.00, 54.00, 66.00, 61.00, 55.00, 99.00, 55.00,SS-W,9,16,2,60,65537
 39.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,X264_AllMeasurements,7,16,1,60,1153
 65.00, 99.00, 100.00, 99.00, 99.00, 100.00, 100.00,SS-M,7,17,3,60,865
  9.00, -9.00, 81.00, 50.00, 62.00, 81.00, 53.00,SS-N,4,17,2,60,53663
 15.00, 75.00, 56.00, 55.00, 76.00, 58.00, 60.00,coc1000,6,20,5,60,1001
 -19.00, 97.00, 100.00, 98.00, 97.00, 100.00, 99.00,SS-U,6,21,2,378,4609
  6.00, 94.00, 97.00, 86.00, 91.00, 98.00, 93.00,xomo_flight,6,27,4,810,10001
  6.00, 96.00, 90.00, 88.00, 86.00, 92.00, 90.00,xomo_ground,6,27,4,810,10001
  2.00, 92.00, 98.00, 91.00, 90.00, 95.00, 93.00,xomo_osp,7,27,4,810,10001
 -16.00, 92.00, 89.00, 86.00, 86.00, 88.00, 79.00,xomo_osp2,8,27,4,810,10001
  7.00, 69.00, 75.00, 74.00, 74.00, 85.00, 71.00,SQL_AllMeasurements,15,39,1,382,4654
 -4.00, 93.00, 94.00, 98.00, 85.00, 94.00, 94.00,billing10k,12,88,3,810,10001
 14.00, 97.00, 97.00, 97.00, 94.00, 97.00, 97.00,Scrum100k,15,124,3,8010,100001
 14.00, 95.00, 97.00, 97.00, 93.00, 97.00, 97.00,Scrum10k,12,124,3,810,10001
 -10.00, 95.00, 89.00, 88.00, 86.00, 89.00, 83.00,Scrum1k,7,124,3,60,1001
 -3.00, 99.00, 99.00, 99.00, 100.00, 99.00, 100.00,FFM-125-25-0.50-SAT-1,8,128,3,810,10001
 -4.00, 100.00, 100.00, 100.00, 100.00, 97.00, 100.00,FFM-250-50-0.50-SAT-1,12,256,3,810,10001
  9.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00,FFM-500-100-0.50-SAT-1,14,510,3,810,10001
  9.00, 93.00, 96.00, 96.00, 96.00, 96.00, 96.00,FM-500-100-0.75-SAT-1,11,511,3,810,10001
 -1.00, 97.00, 97.00, 97.00, 97.00, 97.00, 95.00,FM-500-100-1.00-SAT-1,11,511,3,810,10001
  0.00, 95.00, 100.00, 100.00, 98.00, 95.00, 98.00,FM-500-100-0.50-SAT-1,9,513,3,810,10001
 25.00, 97.00, 96.00, 97.00, 95.00, 97.00, 97.00,FM-500-100-0.25-SAT-1,15,517,3,810,10001
 -13.00, 86.00, 94.00, 94.00, 86.00, 100.00, 94.00,FFM-1000-200-0.50-SAT-1,11,1044,3,810,10001
